id,final_status,store_address_id,customer_id,courier_id,vertical,is_food,transport,number_of_assignments,total_real_distance,activation_time_local,last_courier_assigned_time,courier_started_order_local,courier_enters_pickup_time_local,pickup_time_local,courier_enters_delivery_point_time_local,termination_time,Count,Total Time,...20,...21,...22,...23,...24,...25
53223617,DeliveredStatus,19434,3291674,13762181,WALL - Partner,TRUE,CAR,1,7.789,2019-07-13T21:17:06Z,2019-07-13T21:25:56Z,2019-07-13T21:26:49Z,2019-07-13T21:35:32Z,2019-07-13T21:45:32Z,2019-07-13T21:59:36Z,2019-07-13T22:02:59Z,NA,45,NA,NA,NA,NA,NA,NA
52701851,DeliveredStatus,18300,6558338,18225430,WALL - Partner,TRUE,BICYCLE,1,4.751,2019-07-10T21:40:40Z,2019-07-10T22:11:05Z,2019-07-10T22:11:37Z,2019-07-10T21:40:42Z,2019-07-10T22:30:10Z,2019-07-10T22:37:52Z,2019-07-10T22:41:50Z,NA,1,NA,NA,NA,NA,NA,NA
52496295,DeliveredStatus,23518,6128839,6212245,WALL - Partner,TRUE,MOTORBIKE,1,4.935,2019-07-09T17:33:49Z,2019-07-09T17:34:25Z,2019-07-09T17:34:45Z,2019-07-09T17:35:56Z,2019-07-09T17:41:48Z,2019-07-09T17:49:10Z,2019-07-09T17:54:08Z,NA,20,NA,NA,NA,NA,NA,NA
53145468,CanceledStatus,16593,6156985,8046350,WALL - Partner,TRUE,MOTORBIKE,4,7.478,2019-07-13T14:16:25Z,2019-07-13T14:52:19Z,2019-07-13T14:52:51Z,NA,NA,NA,2019-07-13T15:07:23Z,NA,50,NA,NA,NA,NA,NA,NA
52685424,DeliveredStatus,18300,8403200,7290210,WALL - Partner,TRUE,BICYCLE,2,4.266,2019-07-10T20:35:40Z,2019-07-10T21:18:15Z,2019-07-10T21:24:35Z,2019-07-10T20:35:54Z,2019-07-10T21:53:25Z,2019-07-10T21:59:11Z,2019-07-10T22:01:56Z,NA,26,NA,NA,NA,NA,NA,NA
52719455,CanceledStatus,30640,10659079,15239373,WALL - Partner,TRUE,CAR,1,7.7,2019-07-10T23:02:15Z,2019-07-10T23:33:28Z,2019-07-10T23:33:44Z,2019-07-10T23:38:08Z,2019-07-10T23:59:49Z,2019-07-11T00:05:20Z,2019-07-11T00:27:19Z,NA,25,NA,NA,NA,NA,NA,NA
53143238,DeliveredStatus,18300,3916106,16974425,WALL - Partner,TRUE,BICYCLE,1,2.733,2019-07-13T14:03:35Z,2019-07-13T14:04:31Z,2019-07-13T14:05:09Z,2019-07-13T14:03:53Z,2019-07-13T14:17:43Z,2019-07-13T14:26:18Z,2019-07-13T14:29:17Z,NA,25,NA,NA,NA,NA,NA,NA
52820511,DeliveredStatus,23518,9326628,17209225,WALL - Partner,TRUE,BICYCLE,1,2.622,2019-07-11T18:51:21Z,2019-07-11T19:00:22Z,2019-07-11T19:00:33Z,2019-07-11T18:51:44Z,2019-07-11T19:16:20Z,2019-07-11T19:26:11Z,2019-07-11T19:28:47Z,NA,37,NA,NA,NA,NA,NA,NA
53431991,DeliveredStatus,68386,12668929,14917583,WALL - Partner,TRUE,BICYCLE,1,2.236,2019-07-14T21:15:18Z,2019-07-14T21:16:51Z,2019-07-14T21:17:22Z,2019-07-14T21:20:46Z,2019-07-14T21:36:36Z,2019-07-14T21:38:06Z,2019-07-14T21:38:42Z,NA,23,NA,NA,NA,NA,NA,NA
53474600,DeliveredStatus,50845,14279733,14924108,WALL - Partner,TRUE,BICYCLE,2,6.179,2019-07-14T23:47:12Z,2019-07-14T23:48:27Z,2019-07-14T23:57:30Z,2019-07-15T00:02:00Z,2019-07-15T00:14:44Z,2019-07-15T00:20:38Z,2019-07-15T00:23:44Z,NA,36,NA,NA,NA,NA,NA,NA
