y,x2,x3
3.15082,84.2291,21.89885
3.11256,83.1969,24.33171
3.11546,81.5107,24.36838
3.19073,82.2459,27.0435
3.2486,84.6815,28.12995
3.31421,87.8285,29.23224
3.38451,88.6224,28.64603
3.39667,90.7154,30.95711
3.4591,99.8701,32.12047
3.48556,98.7063,30.39161
3.45893,100.0099,31.63454
3.48903,101.6403,33.26643
3.47945,103.8388,32.68732
3.58694,103.8977,32.03853
3.64508,105.5957,31.15697
3.72704,109.5899,32.30874
3.78196,111.5844,31.67985
3.81166,113.7191,33.33034
3.86319,116.2973,35.56822
3.81896,117.4459,36.81732
3.99556,120.6205,38.55079
3.89434,123.5584,36.98224
3.93671,126.4848,37.0197
3.94238,128.2949,37.44051
3.95902,131.2945,36.96262
4.03748,131.2086,35.83279
4.07008,133.9257,36.55807
4.17214,138.528,35.99934
4.28526,143.4427,35.7211
4.45743,141.1215,33.50328
4.45296,145.7803,36.15999
4.49202,147.2218,36.82915
4.63024,149.2423,37.07752
4.64998,154.1488,37.42268
4.60331,155.0314,37.81669
4.59561,155.9829,39.52124
4.66669,159.3744,39.461
4.8174,158.6426,37.87295
4.90184,162.7538,40.19955
5.01631,165.1607,40.70428
4.98689,165.393,39.42165
5.03481,165.6238,40.86696
4.99468,167.4238,41.61996
5.08776,168.3206,41.83352
5.22062,167.0819,43.70583
